time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,wifi_freq,bit_rate,link_quality,link_quality_max,signal_level,gpu,gpu_mem,state,net
27-3-2022 18:37:31,1648420651.6690133,1500.0,31.0,7206.97,2269.09,714331.24,31.6,22037903,260987492,2.1982291753917185e-07,8.593077685622173e-07,73.036,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:37:36,1648420656.67305,1500.0,30.3,7212.25,2269.97,714345.03,32.2,22037945,260987982,8.393223873453072e-08,9.792094519028583e-07,73.523,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:37:41,1648420661.677143,1500.0,30.4,7217.53,2270.86,714358.78,31.0,22037945,260988197,0.0,4.296482752995328e-07,73.036,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:37:46,1648420666.6811917,1500.0,30.5,7222.8,2271.78,714372.57,30.8,22037987,260988687,8.393203878638117e-08,9.79207119174447e-07,72.062,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:37:51,1648420671.6849766,1500.0,30.8,7228.11,2272.69,714386.33,30.7,22037987,260989117,0.0,8.593494904917928e-07,73.036,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:37:56,1648420676.6890178,1500.0,30.8,7233.4,2273.59,714400.1,30.8,22038269,260990116,5.635445213491026e-07,1.9963864426516083e-06,73.036,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:38:1,1648420681.6929677,1500.0,30.7,7238.65,2274.5,714413.87,30.8,22038311,260990606,8.393369438577227e-08,9.792264345006766e-07,73.036,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:38:6,1648420686.6970139,1500.0,30.4,7243.92,2275.39,714427.65,31.5,22038353,260991225,8.393207877593487e-08,1.2369989705310402e-06,73.036,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:38:11,1648420691.703203,1500.0,30.7,7249.14,2276.3,714441.53,30.8,22038353,260991655,0.0,8.589367895069689e-07,72.549,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:38:16,1648420696.7099745,1500.0,24.9,7254.28,2277.0,714455.65,26.9,22038395,260992317,8.388639157802586e-08,1.3222093148726933e-06,74.01,0,0,0,0,0,0,0,idle,
27-3-2022 18:38:21,1648420701.714113,600.0,0.0,7254.36,2277.04,714475.5,26.9,22038395,260992532,0.0,4.2964438594573754e-07,70.114,0,0,0,0,0,0,0,idle,
27-3-2022 18:38:26,1648420706.718091,1500.0,0.0,7254.4,2277.08,714495.4,27.0,22038437,260993194,8.393322249330041e-08,1.3229474592991635e-06,70.601,0,0,0,0,0,0,0,idle,
27-3-2022 18:38:31,1648420711.7221632,600.0,0.0,7254.42,2277.1,714515.34,27.0,22038437,260993992,0.0,1.594701214945256e-06,69.14,0,0,0,0,0,0,0,idle,
27-3-2022 18:38:36,1648420716.726239,600.0,0.0,7254.44,2277.14,714535.25,27.0,22038479,260994267,8.393158290816235e-08,5.495520309463011e-07,68.166,0,0,0,0,0,0,0,idle,
27-3-2022 18:38:41,1648420721.7302191,1500.0,0.0,7254.48,2277.18,714555.16,26.9,22038479,260994697,0.0,8.593159570414138e-07,68.166,0,0,0,0,0,0,0,idle,
27-3-2022 18:38:46,1648420726.7342815,600.0,0.0,7254.5,2277.2,714575.11,26.9,22038521,260994972,8.393180684772119e-08,5.49553497217222e-07,67.192,0,0,0,0,0,0,0,idle,
27-3-2022 18:38:51,1648420731.7382987,600.0,0.0,7254.54,2277.23,714595.01,26.9,22038521,260995402,0.0,8.593096109564302e-07,66.705,0,0,0,0,0,0,0,idle,
